location_id,month,hour,temperature (C degree),humidity (%),pressure (hPa),windspeed (km/h),season_encoded,day_night_encoded,precipitation (mm)
4,8,4,37.0,45.0,1005.0,7.6,1,1,0.0
7,6,21,26.8,93.0,1002.2,1.8,1,1,0.0
7,2,17,23.0,83.0,1018.0,13.0,0,0,0.0
5,9,11,30.0,75.0,1004.0,11.2,1,0,3.4
7,10,13,23.0,89.0,1012.0,20.0,1,0,1.2
4,12,11,19.0,94.0,1017.0,1.8,0,0,0.0
2,3,17,23.0,100.0,1013.0,5.4,0,0,0.0
5,6,11,32.0,71.0,1004.0,11.2,1,0,0.0
2,10,15,24.9,95.0,1012.8,3.6,1,0,0.5
5,2,1,23.0,88.0,1019.0,14.8,0,1,0.0
2,9,19,30.0,66.0,1004.0,5.4,1,1,0.0
3,6,14,27.0,84.0,1006.0,5.4,1,0,0.0
6,11,17,24.0,94.0,1016.0,3.6,1,0,0.5
3,9,15,27.0,89.0,1007.0,13.0,1,0,3.0
5,2,4,22.0,78.0,1017.0,9.4,0,1,0.1
3,4,4,31.0,75.0,1011.0,9.4,0,1,0.0
5,9,11,25.0,89.0,1003.0,7.6,1,0,0.0
4,8,9,32.4,62.0,1005.6,13.0,1,0,0.0
1,5,23,29.0,79.0,1005.0,3.6,1,1,0.0
5,6,8,33.0,63.0,1005.0,14.8,1,0,1.8
6,11,6,31.0,71.0,1010.0,17.0,1,0,0.4
5,11,3,25.8,95.0,1013.1,7.2,1,1,1.1
3,1,19,23.0,78.0,1015.0,14.8,0,1,0.0
7,11,10,26.0,79.0,1015.0,13.0,1,0,0.1
6,10,17,27.0,84.0,1012.0,4.0,1,0,0.0
5,4,14,21.0,73.0,1017.0,7.6,0,0,0.0
7,2,0,22.6,89.0,1018.3,10.8,0,1,0.3
2,1,8,23.0,88.0,1015.0,9.4,0,0,0.0
6,11,10,23.0,94.0,1015.0,6.0,1,0,1.3
4,7,18,27.5,80.0,997.3,3.6,1,1,0.0
5,10,16,22.0,100.0,1003.0,3.6,1,0,0.5
6,12,8,19.0,94.0,1021.0,13.0,0,0,0.2
5,5,17,26.0,100.0,1009.0,5.4,1,0,0.0
7,6,11,29.0,70.0,1003.0,7.6,1,0,0.0
5,9,13,28.0,84.0,1007.0,7.0,1,0,0.0
6,11,18,20.0,73.0,1015.0,9.0,1,1,0.0
3,1,4,26.0,65.0,1015.0,9.4,0,1,0.0
6,5,16,28.0,89.0,1011.0,9.4,1,0,0.0
