date,temperature_2m,relative_humidity_2m,dew_point_2m,weather_code,pressure_msl,wind_speed_10m,wind_direction_10m,cloud_cover
2023-12-31 17:00:00+00:00,25.5915,87.927864,23.4415,3.0,1011.5,5.8603754,132.5104,93.0
2023-12-31 18:00:00+00:00,25.3415,88.97488,23.3915,3.0,1011.2,4.8965297,126.027466,93.0
2023-12-31 19:00:00+00:00,25.1415,89.76893,23.3415,3.0,1010.7,2.1897945,99.46225,95.0
2023-12-31 20:00:00+00:00,24.9415,90.2985,23.241499,3.0,1010.4,4.829907,26.564985,98.0
2023-12-31 21:00:00+00:00,24.6915,91.656395,23.241499,3.0,1010.3,8.28,360.0,98.0
2023-12-31 22:00:00+00:00,24.5915,91.37374,23.0915,3.0,1010.9,7.5942073,354.55975,97.0
2023-12-31 23:00:00+00:00,24.4415,91.08824,22.8915,3.0,1011.2,6.489992,356.82022,96.0
2024-01-01 00:00:00+00:00,24.741499,88.658905,22.741499,3.0,1011.8,5.4119864,356.186,98.0
2024-01-01 01:00:00+00:00,26.241499,79.63688,22.4415,3.0,1013.0,7.771331,346.60748,100.0
2024-01-01 02:00:00+00:00,28.0415,68.66188,21.741499,3.0,1013.6,5.6920996,341.56494,100.0
2024-01-01 03:00:00+00:00,29.491499,61.977455,21.4415,3.0,1013.2,3.4152596,341.56494,100.0
2024-01-01 04:00:00+00:00,30.6915,57.850746,21.4415,3.0,1012.6,3.319036,347.4712,100.0
2024-01-01 05:00:00+00:00,31.491499,54.76625,21.2915,3.0,1011.8,1.484318,14.036275,100.0
2024-01-01 06:00:00+00:00,32.2915,50.599815,20.741499,3.0,1010.9,2.0991426,149.03632,100.0
2024-01-01 07:00:00+00:00,32.9915,46.585335,20.0415,3.0,1009.9,5.495161,148.39255,100.0
2024-01-01 08:00:00+00:00,32.891502,46.271294,19.8415,3.0,1009.2,7.289445,147.09476,100.0
2024-01-01 09:00:00+00:00,32.341503,49.53271,20.4415,3.0,1009.0,10.805998,150.01845,100.0
2024-01-01 10:00:00+00:00,30.6915,61.864624,22.5415,51.0,1009.3,13.527572,154.7989,100.0
2024-01-01 11:00:00+00:00,28.491499,70.65503,22.6415,3.0,1009.8,13.905509,158.74942,99.0
2024-01-01 12:00:00+00:00,28.0415,72.529755,22.6415,3.0,1010.3,11.440979,155.85446,98.0
2024-01-01 13:00:00+00:00,27.1915,76.68967,22.741499,3.0,1012.1,9.021574,151.38963,100.0
2024-01-01 14:00:00+00:00,26.9415,78.296814,22.8415,3.0,1012.1,5.506941,168.69011,100.0
2024-01-01 15:00:00+00:00,26.5415,80.40514,22.8915,3.0,1012.0,5.0142193,158.96242,100.0
2024-01-01 16:00:00+00:00,26.241499,82.58775,23.0415,3.0,1012.0,3.4152596,161.56496,100.0
2024-01-01 17:00:00+00:00,25.9415,84.83204,23.1915,3.0,1011.8,2.9024127,172.87508,100.0
2024-01-01 18:00:00+00:00,25.6915,86.61993,23.2915,3.0,1011.5,5.506941,168.69011,100.0
2024-01-01 19:00:00+00:00,25.3915,88.71074,23.3915,3.0,1010.9,3.7064266,150.9455,100.0
2024-01-01 20:00:00+00:00,25.3415,89.51319,23.491499,3.0,1010.3,3.219938,63.435013,98.0
2024-01-01 21:00:00+00:00,25.0915,91.40454,23.5915,3.0,1010.2,4.5536795,18.435053,99.0
2024-01-01 22:00:00+00:00,24.8915,91.945175,23.491499,3.0,1010.4,5.634891,333.43503,100.0
2024-01-01 23:00:00+00:00,24.3915,94.44975,23.4415,2.0,1010.7,6.792466,327.99466,62.0
2024-01-02 00:00:00+00:00,24.5915,92.48489,23.2915,3.0,1011.3,6.618519,315.0001,89.0
2024-01-02 01:00:00+00:00,26.2915,83.85073,23.3415,2.0,1012.4,5.0911684,315.0001,60.0
2024-01-02 02:00:00+00:00,28.0915,73.86911,22.991499,2.0,1012.9,4.072935,315.0001,79.0
2024-01-02 03:00:00+00:00,29.5415,65.88642,22.491499,2.0,1012.8,4.0249224,349.69522,77.0
2024-01-02 04:00:00+00:00,30.8915,58.43095,21.7915,1.0,1012.3,5.154415,24.775122,20.0
2024-01-02 05:00:00+00:00,31.6915,53.816605,21.1915,0.0,1011.4,5.6002855,44.999897,16.0
2024-01-02 06:00:00+00:00,32.341503,50.457085,20.741499,0.0,1010.1,5.634891,63.435013,15.0
2024-01-02 07:00:00+00:00,32.591503,48.989666,20.491499,51.0,1008.9,5.771239,93.57626,16.0
2024-01-02 08:00:00+00:00,32.6915,49.166862,20.6415,0.0,1008.4,6.28713,103.24053,13.0
2024-01-02 09:00:00+00:00,32.4915,49.26676,20.491499,1.0,1008.4,9.387651,122.471176,20.0
2024-01-02 10:00:00+00:00,30.5415,62.58741,22.5915,0.0,1009.1,14.982228,144.78232,19.0
2024-01-02 11:00:00+00:00,28.4415,70.645874,22.5915,2.0,1009.7,14.84318,157.1663,59.0
2024-01-02 12:00:00+00:00,27.8415,72.49501,22.4415,3.0,1010.7,14.81259,154.05775,97.0
2024-01-02 13:00:00+00:00,27.3915,76.72001,22.9415,3.0,1012.0,11.457958,133.72705,90.0
2024-01-02 14:00:00+00:00,26.8915,80.45089,23.241499,0.0,1012.2,10.464797,130.81499,16.0
2024-01-02 15:00:00+00:00,26.491499,82.86699,23.3415,0.0,1012.1,6.9247384,117.89718,2.0
2024-01-02 16:00:00+00:00,26.2915,82.593605,23.0915,3.0,1012.1,7.145796,130.91429,99.0
2024-01-02 17:00:00+00:00,25.991499,84.07151,23.0915,2.0,1012.0,5.634891,153.43501,75.0
2024-01-02 18:00:00+00:00,25.741499,85.58423,23.1415,3.0,1011.6,4.5536795,161.56496,100.0
2024-01-02 19:00:00+00:00,25.5415,86.86807,23.1915,3.0,1011.1,2.5455842,135.0001,96.0
2024-01-02 20:00:00+00:00,25.4415,86.85893,23.0915,3.0,1010.5,2.5959969,33.6901,93.0
2024-01-02 21:00:00+00:00,25.241499,87.63279,23.0415,3.0,1010.5,5.771239,356.42374,95.0
2024-01-02 22:00:00+00:00,24.8915,91.11684,23.3415,3.0,1010.7,6.9527545,338.74942,99.0
2024-01-02 23:00:00+00:00,24.6415,93.32836,23.491499,3.0,1011.3,6.830519,341.56494,84.0
2024-01-03 00:00:00+00:00,25.0415,90.03319,23.2915,3.0,1011.7,6.2145634,349.99207,84.0
2024-01-03 01:00:00+00:00,26.6915,80.18179,22.991499,2.0,1013.2,5.771239,356.42374,63.0
2024-01-03 02:00:00+00:00,28.241499,70.18113,22.2915,0.0,1013.6,5.0528407,4.085537,13.0
2024-01-03 03:00:00+00:00,29.5415,64.10656,22.0415,1.0,1013.0,4.73506,8.746089,29.0
2024-01-03 04:00:00+00:00,30.7915,58.40761,21.6915,0.0,1012.2,3.8773184,21.801476,13.0
2024-01-03 05:00:00+00:00,31.741499,53.994274,21.2915,0.0,1011.1,4.1046314,52.124958,18.0
2024-01-03 06:00:00+00:00,32.341503,51.081707,20.9415,0.0,1010.0,4.0249224,79.69521,19.0
2024-01-03 07:00:00+00:00,32.641502,49.00264,20.5415,1.0,1009.0,4.452954,104.03627,24.0
